loss,f1,val_loss,val_f1
0.2504,0.5804,0.2543,0.6133
0.2107,0.6676,0.2339,0.6536
0.1976,0.6938,0.1907,0.7049
0.1886,0.7099,0.1912,0.7035
0.1833,0.7211,0.1817,0.7207
0.1793,0.7279,0.1804,0.7283
0.1757,0.7345,0.1804,0.7242
0.1720,0.7409,0.1798,0.7290
0.1704,0.7433,0.1772,0.7356
0.1674,0.7493,0.1719,0.7417
0.1656,0.7520,0.1725,0.7452
0.1642,0.7547,0.1672,0.7501
0.1625,0.7568,0.1687,0.7462
0.1609,0.7599,0.1749,0.7469
0.1596,0.7622,0.1726,0.7461
0.1579,0.7648,0.1718,0.7495
0.1530,0.7729,0.1624,0.7640
0.1506,0.7767,0.1606,0.7655
0.1504,0.7766,0.1599,0.7678
0.1490,0.7785,0.1617,0.7654
0.1489,0.7800,0.1611,0.7671
0.1487,0.7792,0.1616,0.7668
0.1475,0.7815,0.1599,0.7672
0.1479,0.7811,0.1597,0.7682
0.1465,0.7831,0.1606,0.7682
0.1467,0.7823,0.1606,0.7675
0.1472,0.7819,0.1590,0.7705
0.1470,0.7822,0.1614,0.7662
0.1473,0.7825,0.1599,0.7686
0.1471,0.7822,0.1599,0.7692
0.1466,0.7833,0.1603,0.7680
0.1467,0.7829,0.1610,0.7677
0.1465,0.7834,0.1595,0.7694
0.1468,0.7826,0.1593,0.7696
0.1464,0.7833,0.1588,0.7690
0.1469,0.7825,0.1603,0.7681
0.1469,0.7826,0.1613,0.7672
0.1468,0.7821,0.1598,0.7699
0.1467,0.7829,0.1605,0.7682
0.1467,0.7828,0.1608,0.7692
0.1465,0.7833,0.1597,0.7680
0.1472,0.7823,0.1595,0.7701